epoca,erro_medio_mse
1,0.22021325
2,0.15106973
3,0.14625379
4,0.14304300
5,0.14005733
6,0.13699406
7,0.13374159
8,0.13022828
9,0.12639286
10,0.12220404
11,0.11770982
12,0.11305176
13,0.10839858
14,0.10387440
15,0.09954990
16,0.09545896
17,0.09160995
18,0.08799384
19,0.08459374
20,0.08139122
21,0.07836825
22,0.07550643
23,0.07278702
24,0.07019117
25,0.06770059
26,0.06529852
27,0.06297419
28,0.06072788
29,0.05857085
30,0.05651794
31,0.05457986
32,0.05276002
33,0.05105565
34,0.04946034
35,0.04796575
36,0.04656354
37,0.04524538
38,0.04400365
39,0.04283149
40,0.04172273
41,0.04067170
42,0.03967355
43,0.03872378
44,0.03781854
45,0.03695418
46,0.03612772
47,0.03533626
48,0.03457736
49,0.03384869
50,0.03314825
51,0.03247418
52,0.03182483
53,0.03119872
54,0.03059437
55,0.03001057
56,0.02944615
57,0.02890004
58,0.02837130
59,0.02785901
60,0.02736233
61,0.02688058
62,0.02641300
63,0.02595897
64,0.02551793
65,0.02508929
66,0.02467262
67,0.02426735
68,0.02387307
69,0.02348939
70,0.02311587
71,0.02275212
72,0.02239779
73,0.02205259
74,0.02171610
75,0.02138806
76,0.02106814
77,0.02075602
78,0.02045150
79,0.02015428
80,0.01986408
81,0.01958068
82,0.01930381
83,0.01903329
84,0.01876885
85,0.01851033
86,0.01825752
87,0.01801019
88,0.01776820
89,0.01753134
90,0.01729946
91,0.01707235
92,0.01684996
93,0.01663203
94,0.01641851
95,0.01620925
96,0.01600416
97,0.01580309
98,0.01560598
99,0.01541270
100,0.01522325
101,0.01503751
102,0.01485539
103,0.01467686
104,0.01450188
105,0.01433038
106,0.01416230
107,0.01399758
108,0.01383614
109,0.01367794
110,0.01352293
111,0.01337099
112,0.01322207
113,0.01307609
114,0.01293298
115,0.01279264
116,0.01265503
117,0.01252004
118,0.01238762
119,0.01225769
120,0.01213018
121,0.01200500
122,0.01188212
123,0.01176144
124,0.01164290
125,0.01152646
126,0.01141206
127,0.01129963
128,0.01118915
129,0.01108052
130,0.01097376
131,0.01086875
132,0.01076549
133,0.01066392
134,0.01056403
135,0.01046577
136,0.01036908
137,0.01027395
138,0.01018032
139,0.01008818
140,0.00999749
141,0.00990819
142,0.00982029
143,0.00973373
144,0.00964847
145,0.00956451
146,0.00948182
147,0.00940034
148,0.00932006
149,0.00924095
150,0.00916299
151,0.00908617
152,0.00901044
153,0.00893579
154,0.00886222
155,0.00878968
156,0.00871818
157,0.00864769
158,0.00857820
159,0.00850972
160,0.00844220
161,0.00837565
162,0.00831005
163,0.00824540
164,0.00818166
165,0.00811885
166,0.00805693
167,0.00799588
168,0.00793571
169,0.00787637
170,0.00781787
171,0.00776016
172,0.00770324
173,0.00764710
174,0.00759169
175,0.00753701
176,0.00748303
177,0.00742974
178,0.00737713
179,0.00732515
180,0.00727382
181,0.00722312
182,0.00717303
183,0.00712356
184,0.00707469
185,0.00702643
186,0.00697877
187,0.00693171
188,0.00688526
189,0.00683943
190,0.00679419
191,0.00674958
192,0.00670558
193,0.00666220
194,0.00661943
195,0.00657729
196,0.00653574
197,0.00649481
198,0.00645446
199,0.00641470
200,0.00637551
